timestamp,duration,session_id,source_ip,source_port,destination_ip,destination_port,protocol,num_auth_attempts
2022-06-02 11:55:37.439857,0,47a2cfcf-4b8a-4226-8daf-d386b88b9927,143.198.151.109,43868,34.125.121.193,5900,vnc,0
2022-06-02 11:58:39.316513,0,5efe097c-0a6e-4777-9b78-7d142aa4cc79,143.198.151.109,44966,34.125.121.193,5900,vnc,0
2022-06-02 12:01:41.531223,0,573ba9c5-d105-4f36-a859-4fd54f172013,143.198.151.109,46084,34.125.121.193,5900,vnc,0
2022-06-02 12:04:44.042832,0,e09b5b5f-01da-4161-87ce-da070bd19557,143.198.151.109,47196,34.125.121.193,5900,vnc,0
2022-06-02 12:07:46.622814,0,83b34aab-cdbd-4240-8736-06afe5cdc05f,143.198.151.109,48314,34.125.121.193,5900,vnc,0
2022-06-02 12:10:49.452899,0,a928e111-88a7-4fb1-9baa-767aa544ad5a,143.198.151.109,49410,34.125.121.193,5900,vnc,0
2022-06-02 12:13:52.083064,0,f7a94d40-a332-4394-9ade-02d93c67d0c7,143.198.151.109,50510,34.125.121.193,5900,vnc,0
2022-06-02 12:16:55.417256,0,f5d956b3-4e85-4323-91ec-1efa99858158,143.198.151.109,51624,34.125.121.193,5900,vnc,0
2022-06-02 12:19:57.081334,0,2939bc4a-f8f0-4e94-b525-cf562b86f600,143.198.151.109,52724,34.125.121.193,5900,vnc,0
2022-06-02 12:22:59.230229,0,b48891e6-8072-4679-9465-461f751d038a,143.198.151.109,53832,34.125.121.193,5900,vnc,0
2022-06-02 12:26:02.747543,0,434cc4a3-485a-4c16-bb57-8fdf93ca115a,143.198.151.109,54936,34.125.121.193,5900,vnc,0
2022-06-02 12:29:06.079315,0,db7bc4c8-69b9-4d61-bd00-213928d7c012,143.198.151.109,56040,34.125.121.193,5900,vnc,0
2022-06-02 12:32:10.202634,0,b395e8b3-35bd-4d8a-9a4f-d6c8da333ad9,143.198.151.109,57148,34.125.121.193,5900,vnc,0
2022-06-02 12:35:14.396734,0,d97578ff-330c-4b5a-85e5-d8152f0db1b1,143.198.151.109,58244,34.125.121.193,5900,vnc,0
2022-06-02 12:37:08.037405,0,e13281ed-55bb-46eb-9054-8da0931ff46b,45.79.147.11,61000,34.125.121.193,110,pop3,0
2022-06-02 12:38:19.230761,0,6eb2bbfd-eda0-42c0-92c9-b1ca09e86b2c,143.198.151.109,59348,34.125.121.193,5900,vnc,0
2022-06-02 12:41:22.918394,0,f70cb72f-f854-4c4c-b959-0b05a76f55dc,143.198.151.109,60462,34.125.121.193,5900,vnc,0
2022-06-02 12:43:57.820248,0,14339a2c-4381-4ae2-9937-772a115971b2,45.79.146.25,61000,34.125.121.193,143,imap,0
2022-06-02 12:44:25.417423,0,3c5b7c54-7497-4e5b-8b9a-2024eeb2601a,143.198.151.109,33322,34.125.121.193,5900,vnc,0
2022-06-02 12:47:30.395118,0,189e72e1-cad1-4a41-9a36-dd77d61dc943,143.198.151.109,34428,34.125.121.193,5900,vnc,0
2022-06-02 12:49:01.456404,15,0f2ceb36-119c-4ddb-8e71-52cd96fb3cb7,162.142.125.213,36542,34.125.121.193,995,pop3s,0
2022-06-02 12:50:34.397540,0,1127017f-b658-4cbd-afa6-53915ee247fb,143.198.151.109,35536,34.125.121.193,5900,vnc,0
2022-06-02 12:53:37.673702,0,849f9724-16fe-4695-af5f-c892caf5091b,143.198.151.109,36646,34.125.121.193,5900,vnc,0
2022-06-02 12:56:41.933139,0,ce6cbf98-c088-41e2-a1c3-df874541dd2a,143.198.151.109,37736,34.125.121.193,5900,vnc,0
2022-06-02 12:57:29.324871,0,cbc24865-c79e-4b7a-8a22-50744f6c246d,45.61.185.190,58644,34.125.121.193,1080,socks5,0
2022-06-02 12:59:45.608072,0,170922ea-09e7-455c-a63e-04201e6f5ab1,143.198.151.109,38832,34.125.121.193,5900,vnc,0
2022-06-02 13:01:01.751224,0,5de96bf8-a8db-4b00-bc9d-47c12fd63156,185.170.144.226,61461,34.125.121.193,5900,vnc,0
2022-06-02 13:02:36.074719,4,2d75bbe1-717c-4b70-9937-2ceb07dfb7a5,185.170.144.226,64707,34.125.121.193,5900,vnc,0
2022-06-02 13:02:49.426647,0,851607f6-7908-445f-aab0-774da3bf74a1,143.198.151.109,39942,34.125.121.193,5900,vnc,0
2022-06-02 13:03:54.533037,0,73c7370b-db60-4f85-b4fe-543926fc9341,162.142.125.10,55514,34.125.121.193,5900,vnc,0
2022-06-02 13:05:54.667063,0,be78032e-1b4c-4e19-94d3-f379ee731dae,143.198.151.109,41046,34.125.121.193,5900,vnc,0
2022-06-02 13:08:59.304705,0,66b2c803-80b7-494d-a661-f123e96cd22c,143.198.151.109,42160,34.125.121.193,5900,vnc,0
2022-06-02 13:12:04.274838,0,b4f6b31c-f1d2-4121-b4ff-c711a1ca2a57,143.198.151.109,43264,34.125.121.193,5900,vnc,0
2022-06-02 13:15:10.133643,0,7b9a4fac-f2af-47da-93ff-10ccf9ff0619,143.198.151.109,44358,34.125.121.193,5900,vnc,0
2022-06-02 13:18:14.430055,0,c00727a1-11ae-4cc4-831c-e7c84d31227a,143.198.151.109,45468,34.125.121.193,5900,vnc,0
2022-06-02 13:21:19.211007,0,2df6f976-342c-4a98-a14e-96b8b15b224c,143.198.151.109,46584,34.125.121.193,5900,vnc,0
2022-06-02 13:24:26.348176,0,92377c3d-44ac-4847-a904-e1ee56194a6d,143.198.151.109,47670,34.125.121.193,5900,vnc,0
2022-06-02 13:27:31.466000,0,26335528-7862-424c-95fc-d9096480c1be,143.198.151.109,48778,34.125.121.193,5900,vnc,0
2022-06-02 13:28:37.624008,0,758fdddc-44e9-4bd6-9637-df849cbcb63c,185.170.144.226,4044,34.125.121.193,5900,vnc,0
2022-06-02 13:28:37.797168,0,dbc8bc2d-8554-4b1e-9a9a-39bb7666a4cf,185.170.144.226,4379,34.125.121.193,5900,vnc,1
2022-06-02 13:28:38.538287,0,6b79d7b5-5a2f-47ec-85c5-b88445088739,185.170.144.226,5546,34.125.121.193,5900,vnc,1
2022-06-02 13:30:37.194222,0,6f7622da-cb45-4cf9-9222-ed6fd5a26368,143.198.151.109,49896,34.125.121.193,5900,vnc,0
2022-06-02 13:33:42.065714,0,edd3d555-9d05-4c9d-a2dc-1264628a61b6,143.198.151.109,50996,34.125.121.193,5900,vnc,0
2022-06-02 13:35:46.874447,0,dbd3d7f9-3552-460c-9681-99fcfd5f5659,167.248.133.119,46638,34.125.121.193,465,smtps,0
2022-06-02 13:36:46.863760,0,c430e886-8c34-4591-8ddc-dfd1e950a2cd,143.198.151.109,52102,34.125.121.193,5900,vnc,0
2022-06-02 13:39:52.219302,0,e21845ee-dfde-41c7-930d-a5dded46ed30,143.198.151.109,53214,34.125.121.193,5900,vnc,0
2022-06-02 13:42:57.513109,0,35f8803c-a6fd-4f57-8564-f8802bd441d2,143.198.151.109,54316,34.125.121.193,5900,vnc,0
2022-06-02 13:46:03.492824,0,c58ec89e-ddb2-4305-902b-69e820506218,143.198.151.109,55440,34.125.121.193,5900,vnc,0
2022-06-02 13:49:08.322148,0,8450bd70-4827-44c7-860d-c0f3f518bef6,143.198.151.109,56568,34.125.121.193,5900,vnc,0
2022-06-02 13:52:13.638882,0,d9efa923-2777-4433-8b40-5f4d8f682a50,143.198.151.109,57686,34.125.121.193,5900,vnc,0
2022-06-02 13:55:19.206923,0,1f748f99-c0fd-4696-81d8-b1789606ed3b,143.198.151.109,58808,34.125.121.193,5900,vnc,0
2022-06-02 14:10:33.827558,0,8b0b6cb3-948d-4fe1-93c8-488455d34885,27.124.32.187,56660,34.125.121.193,1080,socks5,0
2022-06-02 14:10:34.167577,10,aa9cd518-3f96-4b6e-822a-43ea5f7de5f3,27.124.32.187,56792,34.125.121.193,1080,socks5,0
2022-06-02 14:10:44.341936,0,f017b5e4-5885-4b8c-8b7d-8558fb0464f4,27.124.32.187,59938,34.125.121.193,1080,socks5,0
2022-06-02 14:10:44.680492,0,0a9f284d-d05d-4534-903d-737349e3d2d3,27.124.32.187,60108,34.125.121.193,1080,socks5,0
2022-06-02 14:10:45.010433,20,c17a6d99-3a8b-45ce-9c1b-5e2c38702670,27.124.32.187,60222,34.125.121.193,1080,socks5,0
2022-06-02 14:13:26.784960,8,a621350d-f028-4933-9610-12bfe112e0c0,185.170.144.226,53217,34.125.121.193,5900,vnc,0
2022-06-02 14:30:36.966458,0,5fc5517a-d30c-4a2e-bb15-c8553cfd3621,45.61.185.190,40218,34.125.121.193,1080,socks5,0
2022-06-02 14:37:32.225197,0,42063f5d-32d3-49a2-b4fd-3b74c3f9a496,45.79.147.113,61000,34.125.121.193,110,pop3,0
2022-06-02 14:43:26.359389,0,b1fa9b84-f9a8-48cd-a90d-702c111ec371,198.74.58.8,61000,34.125.121.193,143,imap,0
2022-06-02 15:11:54.446444,0,ea75a280-73f0-4234-915f-8f8ab569c738,45.61.188.191,42588,34.125.121.193,1080,socks5,0
2022-06-02 15:21:14.350874,0,446188b6-dcbd-43c7-88c9-d803f12e3098,198.235.24.156,50772,34.125.121.193,5900,vnc,0
2022-06-02 15:35:35.308041,1,24f22f4d-77b9-4bae-91b6-143173e0d967,162.62.191.231,58692,34.125.121.193,5900,vnc,0
2022-06-02 16:13:14.480919,0,24b9b23e-583a-4eb3-a220-d608db3b467b,162.142.125.220,39538,34.125.121.193,993,imaps,0
2022-06-02 16:35:55.552302,0,f3cef996-502d-4cbb-aedc-52ab8ce909fd,45.79.147.107,61000,34.125.121.193,110,pop3,0
2022-06-02 16:42:41.115037,0,a17bb295-0385-4d11-9b30-b822a537064e,45.56.104.252,61000,34.125.121.193,143,imap,0
2022-06-02 17:03:28.342187,0,5700505c-6974-401c-85f8-21ba504681ac,159.223.44.75,55322,34.125.121.193,5900,vnc,0
2022-06-02 17:05:20.340686,2,59436820-724b-4e4c-b9c9-1aedbb3a97ca,205.210.31.146,62658,34.125.121.193,5432,postgresql,0
2022-06-02 17:09:03.520247,0,caeb1b90-9a16-4dcf-beaa-1ba88bd047d4,159.223.44.75,59968,34.125.121.193,5900,vnc,0
2022-06-02 17:14:34.027790,0,3a1658d0-c16b-4e25-9bcc-aa46aa426a0f,159.223.44.75,36294,34.125.121.193,5900,vnc,0
2022-06-02 17:20:12.190689,0,4ed9964f-075b-44e4-9767-c38a6a576ad5,159.223.44.75,40738,34.125.121.193,5900,vnc,0
2022-06-02 17:25:43.067640,0,2996b826-70d0-40b6-94e0-379b52e2d277,159.223.44.75,45152,34.125.121.193,5900,vnc,0
2022-06-02 17:25:44.468678,0,df4aeba5-f5af-40a3-abd6-4fc07905d8f6,45.61.188.191,50444,34.125.121.193,1080,socks5,0
2022-06-02 17:31:11.048975,0,fec3c21a-e9f8-4b66-b63f-794b2f13d5c6,159.223.44.75,49552,34.125.121.193,5900,vnc,0
2022-06-02 17:36:39.630111,0,6e2dea9e-0017-486b-ba4b-2cda96aa687c,159.223.44.75,53938,34.125.121.193,5900,vnc,0
2022-06-02 17:42:06.706306,0,2ad60200-9540-487e-b3b2-ec2dcc075167,159.223.44.75,58316,34.125.121.193,5900,vnc,0
2022-06-02 17:45:20.959518,2,696963a0-abe9-4d22-86c6-64209d14a261,45.83.67.214,59858,34.125.121.193,5432,postgresql,0
2022-06-02 17:45:23.273480,2,70b50807-0612-4ba8-8a45-c0623964ef51,45.83.66.141,61932,34.125.121.193,5432,postgresql,0
